18:06:49.239 |I| Launcher                      | :1                 | Checking if build hasn't expired.
18:06:49.247 |I| Launcher                      | :1                 | Starting RiderFlow frontend
18:06:49.257 |V| ServerSocket-UnityServer-Sender| :1                 | PAUSE ('Disconnected') :: state=Initialized
18:06:49.293 |V| Server                        | :1                 | ServerSocket-UnityServer : started, port: 60186
18:06:49.294 |V| Server                        | ServerSocket-UnityServer-Receiver:49 | ServerSocket-UnityServer : accepting, port: 60186
18:06:54.245 |I| Launcher                      | :1                 | Creating Root ScriptableObject
18:06:54.247 |V| RiderFlowAnalytics            | :1                 | Didn't find 'analytics' in C:\Users\roman\AppData\Roaming\RiderFlow. Creating new 'analytics' file.
18:06:54.248 |V| RiderFlowAnalytics            | :1                 | Generated new uuid. Saved it to 'analytics' in C:\Users\roman\AppData\Roaming\RiderFlow.
18:06:54.248 |I| Launcher                      | :1                 | Subscribing for events
